gene,weight
HMGB3,-0.002559098952316083
NUP160,0.1307794473839935
BAK1,-0.3264328510403949
MUSK,6.154205857479638e-06
IKZF2,0.063199115179278
GRN,-0.5205150345516313
FAM13B,-0.29644219529968674
ARHGAP31,0.23932083914779284
CENPQ,-0.01699739821004881
SARS1,-0.012413860902282664
RANBP3,0.15927526388280921
ARID4A,-0.27130911418465686
EIPR1,0.06101855573707127
PNPLA6,-0.09173481406382544
IFT88,-0.15210958619013604
ALG1,0.30782484096128215
ZCCHC8,-0.11392077372436882
ABCF2,0.6249876233448872
CHPF2,0.14886562266102832
LRRC7,-0.00025220081390256547
FUT8,0.5028166590201995
UBA6,-0.01628513828997402
GAB2,-0.2748610838593771
ATP6V0A1,-0.06644069014176164
PIAS1,-0.1563191157395626
SLC4A7,0.06308863940643605
APBA2,-0.015391121938665327
MAP2K3,1.0034682924419138
CLXN,3.7046870810080696e-06
TMSB10,-0.8081649205523957
ASTE1,-0.06727346739191634
RNF19A,1.0730052178835219
PEX3,0.21215482191640495
MYOC,-0.00034510128438991705
SH3YL1,0.0668626553387146
FAM136A,0.851347463902349
VCL,-0.5338371111972959
DEPDC1B,-0.5229030362623412
DAPK2,-0.05120180612155022
NSMAF,0.45077437547287236
ADSS2,0.40498548426356296
STAP1,-0.13728976511972552
TIMP2,-0.012981188491043466
RFC1,0.018471523132299272
TBC1D23,-0.08110473011117536
CUL3,0.22578823531928016
MYOM2,-0.08405525326685709
OTC,5.320601123229668e-05
CYP46A1,-0.00014741139979543776
ZZZ3,0.21568529270441794
SLC18A1,-1.4483412190743306e-05
USP2,0.002348512640182101
CASR,0.0005170914792267128
TUBG2,-0.01245149511756484
FLT4,-8.645795346328767e-05
NSUN2,0.6875118007436789
FBXO42,-0.05744635979535062
MFAP3,0.011693703709567682
MRI1,-0.03253427070763182
METTL1,0.8617188679240444
HOXC8,9.264148814947022e-05
AGA,-0.36013403001623345
PI4K2B,0.0010769968087795956
BOD1L1,0.0017546787206810244
MAT2B,-0.2248753759457578
TLL1,0.001311741319944603
EDC4,-0.017920631594182224
TRIO,0.030559046073581175
VCAN,-0.003910374439014229
CLEC16A,0.0887601019312908
MSR1,-1.1253979800400528e-05
CDH1,0.021603704542069512
MTREX,0.32128057560585355
DNAH5,3.3971588750255156e-05
ZFYVE16,-0.09964701776146084
RIPOR1,-0.129676165566498
RAI14,0.008845336839884987
SOX30,0.0012376160355472869
BEST2,0.00014854889407390142
PHLPP2,0.29747382019820645
SPDL1,-0.017150997254929135
STAU2,-0.2929747976139001
SLC66A1,-0.0019071284684999135
CTNS,0.6732446933095011
