gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
MYO9A,-0.08427771,0.0023288323506063,0.0009270917133964,0.3830871115639327,False,other,
MYOG,0.031325333,-0.0060864404012182,0.0004663938438853,0.6484971981660723,False,other,
MYPOP,0.20299944,-0.0026748985525902,0.0005113333342705,0.5471217524197657,False,other,
MYRFL,0.05313524,0.0122166213635189,0.0004020176643084,0.1395822720326031,False,other,
MYSM1,0.13087012,-0.003176157819479,0.0005172954922531,0.5639327559857361,False,other,
MYT1L,-0.23365921,0.0052188142420887,0.0008350875855362,0.2969943963321447,False,other,
N4BP3,0.38506502,0.0112956402852508,0.0007654673621366,0.1551197147223637,False,other,
N6AMT1,-0.18703878,0.0142209938053688,0.000593528205848,0.1041772796739684,False,other,
NAA20,-0.053042345,0.0156063447294449,0.0009010995713168,0.08634742740703,False,other,
NAA25,-0.25270873,-0.004830354383189,0.0009080522040795,0.6120733571064697,False,other,
NAA30,-0.5343478,0.0169723203978587,0.0006351180003449,0.0685175751400917,False,other,
NAA35,-0.19923104,0.0079315181664704,0.000640494692573,0.2231278655119714,False,other,
NAA40,-0.059060626,-0.0225715309772921,0.0010548251268081,0.9449821701477332,False,other,
NAALADL1,0.05312369,0.0070929719876042,0.0009895638870347,0.2437595517065715,False,other,
NAB2,0.18938008,-0.0035657056926909,0.0009850418548193,0.5738665308201732,False,other,
NABP1,-0.48832074,0.0018458246766141,0.0008446638262691,0.3978604177279674,False,other,
NABP2,-0.13078347,0.0162866710465776,0.0010601699014036,0.0779419256240448,False,other,
NACC2,0.0794575,-0.0024317109348179,0.0006678124615808,0.5397350993377483,False,other,
NADK,0.21566223,-0.005656852610541,0.0006296700176209,0.6365257259296995,False,other,
NADK2,-0.15418498,0.0108014457758577,0.0006883760292974,0.1647987773815588,False,other,
NADSYN1,0.3535831,0.0131495336041217,0.0012619224340137,0.1204788588894549,False,other,
NAF1,0.22645922,0.0044839093424357,0.0009768001328317,0.315333672949567,False,other,
NAGK,-0.21941599,-0.00802735543574,0.0009247096434301,0.7070809984717269,False,other,
NAIF1,-0.44811907,-0.0189656731116479,0.000568238175535,0.9103413143148242,False,other,
NAMPT,0.09739595,0.0163126906967882,0.0006526740477428,0.0776872134488028,False,other,
NANOS1,-0.18493362,-0.0026261807711345,0.0009806522292222,0.5448293428425879,False,other,
NANP,0.06887849,-0.0229051873637671,0.000560283631192,0.9477840040753948,False,other,
NAPB,0.017593779,-0.0020621787122667,0.0005613231218478,0.5295466123280693,False,other,
NAPG,0.0070198886,0.0106887320952119,0.0007120061498667,0.1670911869587366,False,other,
NARS2,-0.28134274,0.002451311053101,0.0006218615582258,0.3785022924095771,False,other,
NASP,0.14354673,-0.0008618624703337,0.0008399746762743,0.4865002547121752,False,other,
NATD1,-1.2092628,-0.0176740252826399,0.0010393586608013,0.8968415690269995,False,other,
NBAS,-0.013516016,0.0199706562781888,0.000536269548408,0.0404992358634742,False,other,
NBN,-0.09516424,0.0151891508798417,0.000973340969717,0.0919510952623535,False,other,
NCALD,0.2878264,0.0076342195492185,0.0007535699024311,0.2300050942435048,False,other,
NCAM1,-0.271119,0.0077014301194022,0.0007769575714562,0.2292409577177789,False,other,
NCAPD3,-0.10533808,0.0097387386800375,0.0009643269162944,0.1831380539989811,False,other,
NCAPG2,-1.3465179,0.0033327622456352,0.0005522932690595,0.3520122261844116,False,other,
