gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
S100P,-0.03974008,,0.0995700698901085,8.0,954.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ARL6IP6,-0.0397253,0.6313661201170585,0.0818804887858361,4.0,768.0,2.0,False,True,False,False,False,novel,,0.0804,,polarization,Stim8hr,T-cell-specific(measured),True,True
GPNMB,-0.039623886,,0.0964258595551016,0.0,917.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CLEC4E,-0.039620895,,0.1146944168441559,0.0,883.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ZHX2,-0.039603923,-0.2159698055622911,-0.0187330224945054,23.0,359.0,1.0,True,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
UIMC1,-0.03959383,,0.0476613607339137,2.0,946.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
USP34,-0.039592963,,0.1772904916510135,0.0,876.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
LBX2,-0.03957399,0.184643885969073,0.0049732007830543,5.0,545.0,2.0,False,False,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
GLI2,-0.03956923,,0.139269172149994,14.0,1299.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PIAS1,-0.039562892,,0.0035486821170825,0.0,251.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
