gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
ARMC6,0.10203193,0.2534770465619755,-0.1267528193199725,3.0,215.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RAD54L,0.10204004,0.5970557659282036,0.109638397221616,3.0,625.0,2.0,False,True,False,False,False,novel,,0.181,,activation,Stim8hr,T-cell-specific(measured),True,True
BARHL2,0.102102175,,0.0771531754236505,0.0,525.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ALDH9A1,0.10210582,,0.1131036170809168,0.0,679.0,2.0,False,True,False,False,False,novel,,0.205,,activation,Stim8hr,T-cell-specific(measured),True,True
MED16,0.102125525,,,5.0,152.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SPRY1,0.102127306,,0.0654339880730825,1.0,424.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CA9,0.102133386,,,0.0,213.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
OPTN,0.1022259,,,0.0,645.0,1.0,True,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
GOSR1,0.10227043,,,0.0,312.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZWINT,0.10236704,,,133.0,70.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
VANGL1,0.1023843,,0.0840935450277939,0.0,522.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CSNK2A1,0.102503456,0.8124334496580041,0.0206270305206485,138.0,492.0,2.0,False,True,False,False,True,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
NBPF11,0.10251513,,0.1213381330004347,0.0,486.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
GNB2,0.102557704,1.0,0.122382923362743,0.0,1262.0,2.0,False,True,False,False,False,novel,,0.1987,,activation,Stim8hr,T-cell-specific(measured),True,True
LBHD1,0.10265826,0.979988105906908,0.140350222158928,1.0,840.0,1.0,True,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TRIM24,0.10268478,,,2.0,75.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
HMGN1,0.10272002,1.0,0.0698149661168194,2.0,728.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
DUSP18,0.102733836,0.9778780666038264,-0.0189998501445191,4.0,662.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
MAP7D1,0.10274485,0.6521480459499764,0.1540636603079127,8.0,765.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PLCB2,0.1027646,0.9550578501437208,0.0116142906508438,1.0,403.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SPACA6,0.10277983,,0.1297854623029873,0.0,686.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CAMKMT,0.10279504,1.0,0.0206737818122941,2.0,848.0,2.0,False,True,False,True,False,novel,,0.1663,,activation,Stim8hr,T-cell-specific(measured),True,True
ZSCAN29,0.10280062,0.9791733088933858,0.0208336383818989,0.0,726.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
POP7,0.10282965,,,83.0,28.0,2.0,False,False,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
IQGAP2,0.1029125,,,1.0,99.0,2.0,False,True,False,False,False,novel,,0.2942,,activation,Stim8hr,T-cell-specific(measured),True,True
STUM,0.10292188,-0.9038504421951302,0.0417513870440158,0.0,548.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
